date,ticker,spot,num_contracts,expirations,call_volume,put_volume,call_oi,put_oi,pc_volume_ratio,pc_oi_ratio,atm_iv,net_gex_total,gamma_magnet_strike,gamma_magnet_gex,gamma_gap_distance,gamma_gap_score,gamma_positive_zone
2026-08-07,AMZN,274.48,542,2026-08-07|2026-08-10|2026-08-12|2026-08-14,435180,178888,286320,175321,0.4110666850498644,0.6123253702151439,0.0992,1496417.512,275.0,1421493.7130000002,0.5199999999999818,113.12529928802832,1.0
2026-08-07,AVGO,427.76,816,2026-08-07|2026-08-10|2026-08-12|2026-08-14,77063,34732,91111,79669,0.4506961836419553,0.8744169200206342,0.20745,86640.478,430.0,24648.84,2.240000000000009,29.6665401320718,1.0
2026-08-07,DIA,539.62,942,2026-08-07|2026-08-14|2026-08-21|2026-08-28,18831,16816,80502,97755,0.8929955923742765,1.2143176567041811,0.0997,70536.95299999998,540.0,31150.07799999998,0.3799999999999954,39.70904942751291,1.0
2026-08-07,GOOGL,354.3,792,2026-08-07|2026-08-10|2026-08-12|2026-08-14,243325,148208,180990,112835,0.609094832014795,0.6234322338250732,0.1651,28466.57799999997,365.0,9189.293,10.699999999999989,6.801070193268571,0.0
2026-08-07,INTC,101.65,720,2026-08-07|2026-08-10|2026-08-12|2026-08-14,323802,131263,335491,236907,0.4053804485457162,0.7061500904644238,0.7188,469691.299,102.0,209314.583,0.3499999999999943,48.14556367898023,1.0
2026-08-07,IWM,301.56,698,2026-08-07|2026-08-10|2026-08-11|2026-08-12,408195,426975,198681,484702,1.0460074229228675,2.4395991564367,0.11685,1004155.368,301.0,426840.811,-0.5600000000000023,48.957133976292646,1.0
2026-08-07,META,592.1,1456,2026-08-07|2026-08-10|2026-08-12|2026-08-14,271628,105622,176277,84361,0.3888479832712386,0.4785706586792378,0.2688,59473.848000000005,592.5,15635.206,0.3999999999999772,33.72184443604189,1.0
2026-08-07,MRVL,218.72,836,2026-08-07|2026-08-14|2026-08-21|2026-08-28,86850,60414,293824,218405,0.6956131260794474,0.7433191298192116,0.4723,102587.473,220.0,36381.94,1.2800000000000011,38.57509350853613,1.0
2026-08-07,MSFT,499.99,850,2026-08-07|2026-08-10|2026-08-12|2026-08-14,399827,160430,198813,172637,0.4012485399935472,0.8683385895288538,0.2983,267782.45699999994,500.0,192496.622,0.0099999999999909,88.71446754357365,1.0
2026-08-07,MU,877.57,2498,2026-08-07|2026-08-10|2026-08-12|2026-08-14,572770,440844,247599,378133,0.7696701992073607,1.5271992213215724,0.61355,-2969.655000000001,900.0,3684.889,22.42999999999995,8.851447738809412,1.0
2026-08-07,NFLX,74.14,536,2026-08-07|2026-08-14|2026-08-21|2026-08-28,180074,51511,689559,345058,0.286054621988738,0.5004038813212502,0.28775,1358425.0509999995,74.0,1215269.1519999998,-0.1400000000000005,73.2376860464516,1.0
2026-08-07,NVDA,223.96,586,2026-08-07|2026-08-10|2026-08-12|2026-08-14,2187032,988691,1047227,577847,0.4520697456644438,0.5517877212867889,0.25495,2477611.939,225.0,1573330.715,1.039999999999992,72.91608040253094,1.0
2026-08-07,PENG,58.43,208,2026-08-21|2026-09-18|2026-10-16|2026-12-18,1968,1943,35977,27237,0.9872967479674796,0.757067015037385,0.96445,6476.168,80.0,5921.756,21.57,3.941824510033813,0.0
2026-08-07,QQQ,723.03,1770,2026-08-07|2026-08-10|2026-08-11|2026-08-12,3173472,3098748,518083,811815,0.9764535499289106,1.566959348212545,0.09495,668957.242,724.0,228682.402,0.9700000000000272,42.29596437716529,1.0
